           ,Subject,Grade,             ,Strand,              ,    ,               ,Grade Level Standard,      ,       ,        
SS11,Social Sciences,Sixth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",6.9.,"Differentiate between fact and interpretation in historical accounts and explain the meaning of historical passages by identifying who was involved, what happened, where it happened, and relating them to outcomes that followed and gaps in the historical record.",,,
SS11,Social Sciences,Sixth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",6.10.,"Identify issues related to a historical event in the Americas and give basic arguments for and against that issue utilizing the perspectives, interests and values of those involved.",,,
SS11,Social Sciences,Sixth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,6.11.,Distinguish among different types of maps and use them to analyze an issue in the Western Hemisphere.,,,
SS11,Social Sciences,Sixth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,6.12,Collect and analyze data to describe regions of the Western Hemisphere.,,,
SS11,Social Sciences,Sixth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,6.13.,Classify and analyze the types of connections between places in the Western Hemisphere.,,,
SS11,Social Sciences,Sixth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,6.14.,Identify physical features of the Western Hemisphere and explain their effects on people and events.,,,
SS11,Social Sciences,Sixth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,6.15.,Explain how people have adapted to or changed the physical environment in the Western Hemisphere.,,,
SS11,Social Sciences,Sixth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,6.16.,"Explain how technological developments, societal decisions, and personal practices influence sustainability in the Western Hemisphere.",,,
SS11,Social Sciences,Sixth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",6.17.,"Compare and contrast early forms of government via the study of early civilizations (tribal, monarchy, democracy, theocracy, and oligarchy) in the Western Hemisphere.",,,
SS11,Social Sciences,Sixth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",6.18.,Describe current forms of government in countries in the Western Hemisphere.,,,
SS11,Social Sciences,Sixth Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,6.19.,Describe the role and function of prices in the economy.,,,
SS11,Social Sciences,Sixth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",6.20.,Critique information to determine if it is sufficient to answer questions.,,,
SS11,Social Sciences,Sixth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",6.21.,"Clarify key aspects of an event, issue, or problem through inquiry and research.",,,
SS11,Social Sciences,Sixth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",6.22.,"Gather, interpret, document, and use information from multiple sources, distinguishing facts from opinions and recognizing points of view.",,,
SS11,Social Sciences,Sixth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",6.23.,"Interpret documents and data from multiple primary and secondary sources (art, artifacts, eyewitness accounts, letters and diaries, real or simulated historical sites, charts, graphs, diagrams, written texts).",,,
SS11,Social Sciences,Seventh Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",7.1.,"Describe and compare the beliefs, the spread, and the influence of religions throughout Europe, Asia, and Africa, Islam, Crusades, Holy Roman Empire.",,,
SS11,Social Sciences,Seventh Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",7.2.,"Examine the importance of trade routes and trace the rise of cultural centers and trade cities in Europe, Asia, and Africa.",,,
SS11,Social Sciences,Seventh Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",7.3.,"Analyze the interconnections of people, places and events in the economic, scientific and cultural exchanges of the European Renaissance that led to the Scientific Revolution, voyages of discovery and imperial conquest.",,,
SS11,Social Sciences,Seventh Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",7.4.,Explain how and why cultures in the Eastern Hemisphere record history in different ways.,,,
SS11,Social Sciences,Seventh Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",7.5.,"Create and compare timelines that identify major people and events and developments in the history of civilization and/or countries of Africa, Asia and the Southwest Pacific.",,,
SS11,Social Sciences,Seventh Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",7.6.,"Form historical questions and use a variety of information resources to find, summarize and evaluate historical data on the people places, events and developments that have played a part in the history of Africa, Asia and the Southwest Pacific.",,,
SS11,Social Sciences,Seventh Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",7.7.,"Interpret documents and data from multiple primary and secondary sources (e.g., art, artifacts, eyewitness accounts, letters and diaries, real or simulated historical sites, charts, graphs, diagrams, written texts) while forming historical questions.",,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.8.,"Use and evaluate maps, graphs, charts, models, and databases to analyze geographic distributions in the Eastern Hemisphere.",,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.9.,Collect and analyze data to make geographic inferences and predictions regarding the Eastern Hemisphere.,,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.10.,Interpret maps and other geographic tools to find patterns in human and physical systems in the Eastern Hemisphere.,,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.11.,"Describe the physical environment of places in the Eastern Hemisphere and how it influences trade, culture, and the economy.",,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.12.,"Compare and analyze human characteristics (e.g., population, land use, language, and religion) of places and regions in the Eastern Hemisphere.",,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.13.,"Describe the historical and current physical, cultural, and economic characteristics of eco-regions.",,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.14.,"Explain how technological developments, societal decisions, and personal practices influence sustainability in the Eastern Hemisphere.",,,
SS11,Social Sciences,Seventh Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,7.15.,Determine and explain the interdependence of people around the world during significant eras or events.,,,
SS11,Social Sciences,Seventh Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",7.16.,Describe the role of citizens in various governments in the Eastern Hemisphere.,,,
SS11,Social Sciences,Seventh Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",7.17.,"Compare and contrast early forms of government via the study of early civilizations (tribal, monarchy, democracy, theocracy, and oligarchy) in the Eastern Hemisphere.",,,
SS11,Social Sciences,Seventh Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",7.18.,"Investigate current issues in the Eastern Hemisphere and how they relate to other countries, including the United States.",,,
SS11,Social Sciences,Seventh Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",7.19.,"Analyze the significance of the Magna Carta, Hammurabi’s Code and other documents on the development of modern governments.",,,
SS11,Social Sciences,Seventh Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,7.20.,Explain the concepts of “supply” and “demand” and how price allocates scarce goods.,,,
SS11,Social Sciences,Seventh Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,7.21.,Explain the function of imports and exports in the economy.,,,
SS11,Social Sciences,Seventh Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,7.22.,Explain “outsourcing” and describe the costs and benefits.,,,
SS11,Social Sciences,Seventh Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,7.23.,Explain the function of profit in the economy.,,,
SS11,Social Sciences,Seventh Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",7.24.,"Analyze current and historical sources (e.g., artifacts, eyewitness accounts, letters and diaries, real or simulated historical sites, charts, graphs, diagrams, and written texts) for accuracy and point of view while forming questions.",,,
SS11,Social Sciences,Seventh Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",7.25.,Analyze evidence from multiple sources including those with conflicting information.,,,
SS11,Social Sciences,Eighth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",8.1.,"Evaluate continuity and change over the course of United States history by analyzing examples of conflict, cooperation, and interdependence among groups, societies, or nations.",,,
SS11,Social Sciences,Eighth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",8.2.,"Evaluate continuity and change over the course of Unites States history, by analyzing key people and constitutional convention, age of Jefferson, industrial revolution, westward expansion, Civil War.",,,
SS11,Social Sciences,Eighth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",8.3.,"Examine social, political and economic factors that caused westward expansion from American Revolution through reconstruction.",,,
SS11,Social Sciences,Eighth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",8.4.,"Evaluate the impact of different factors, including gender, age, ethnicity and class on groups and individuals during this time period and the impact these groups and individuals have on events of the time.",,,
SS11,Social Sciences,Eighth Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",8.5.,"Analyze the causes as outlined in the Declaration of Independence, and examine the major American and British leaders, key events, international support, and consequences of (e.g., Articles of Confederation, changes in trade relationships, achievement of independence by the United States) the American Revolution.",,,
SS11,Social Sciences,Eighth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",8.6.,Use and interpret documents and other relevant primary and secondary sources pertaining to U.S. History from multiple perspectives.,,,
SS11,Social Sciences,Eighth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",8.7.,Analyze evidence from multiple sources including those with conflicting accounts about specific events in U.S. History.,,,
SS11,Social Sciences,Eighth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",8.8.,Evaluate information from a variety of sources and perspectives.,,,
SS11,Social Sciences,Eighth Grade,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",8.9.,Construct or evaluate a written historical argument demonstrating an understanding of primary and secondary sources.,,,
SS11,Social Sciences,Eighth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,8.10.,Interpret maps to identify growth and development of the United States.,,,
SS11,Social Sciences,Eighth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,8.11.,"Identify and describe patterns and networks of economic interdependence, migration, and settlement.",,,
SS11,Social Sciences,Eighth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,8.12.,Investigate how differing geographic perspectives apply to issues in U.S. History.,,,
SS11,Social Sciences,Eighth Grade,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,8.13.,"Explain how current and historical technological developments, societal decisions, and personal practices influence sustainability in the United States.",,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.14.,Explain rights and responsibilities of citizens.,,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.15.,Contrast the impact of the Articles of Confederation as a form of government to the U.S. Constitution.,,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.16.,Compare and contrast how European governments and the United States government interacted with Native American peoples.,,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.17.,"Examine the development activities of political parties and interest groups and their affect on events, issues, and ideas.",,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.18.,"Examine and analyze important United States documents, including (but not limited to) the Constitution, Bill of Rights, 13th-15th Amendments.",,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.19.,"Examine important Supreme Court decisions prior to 1880 and the impact of the decisions on government practices, personal liberties, and property rights.",,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.20.,Analyze the changing definition of citizenship and the expansion of rights.,,,
SS11,Social Sciences,Eighth Grade,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",8.21.,"Analyze important political and ethical values such as freedom, democracy, equality, and justice embodied in documents such as the Declaration of Independence, the United States Constitution, and the Bill of Rights.",,,
SS11,Social Sciences,Eighth Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,8.22.,"Distinguish among tariffs, quotas, and government policies as means to regulate trade.",,,
SS11,Social Sciences,Eighth Grade,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies. Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,8.23.,Describe how industrialization changes production and how it creates shifts in the market.,,,
SS11,Social Sciences,Eighth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",8.24.,"Compare fictional portrayals of a time, place, or character to historical or other non-fictional sources relating to the same period.",,,
SS11,Social Sciences,Eighth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",8.25.,"Critique data for point of view, historical context, distortion, or propaganda and relevance.",,,
SS11,Social Sciences,Eighth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",8.26.,"Examine a controversial event, issue, or problem from more than one perspective.",,,
SS11,Social Sciences,Eighth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",8.27.,"Examine the various characteristics, causes, and effects of an event, issue, or problem.",,,
SS11,Social Sciences,Eighth Grade,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",8.28.,"Investigate a response or solution to an issue or problem and support or oppose, using research.",,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.1.,Evaluate continuity and change over the course of world and United States history.,,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.2.,"Analyze the complexity and investigate causes and effects of significant events in world, U.S., and Oregon history.",,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.3.,Explain the historical development and impact of major world religions and philosophies.,,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.4.,"Investigate the historical development and impact of major scientific and technological innovations; political thought, theory and actions; and art and literature on culture and thought.",,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.5.,"Examine and evaluate the origins of fundamental political debates and how conflict, compromise, and cooperation have shaped national unity and diversity in world, U.S., and Oregon history.",,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.6.,"Analyze ideas critical to the understanding of history, including, but not limited to:  populism, progressivism, isolationism, imperialism, communism, environmentalism, liberalism, fundamentalism, racism, ageism, classism, conservatism, cultural diversity, feminism, and sustainability.",,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.7.,"Analyze the history, culture, tribal sovereignty, and historical and current issues of the American Indian tribes and bands in Oregon and the United States.",,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.8.,Explain how the American labor movement influenced events and thinking in the United States and Oregon over time.,,,
SS11,Social Sciences,High School,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",HS.9.,"Identify historical and current events, issues, and problems when national interests and global interest have been in conflict, and analyze the values and arguments on both sides of the conflict.",,,
SS11,Social Sciences,High School,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",HS.10.,Evaluate an historical source for point of view and historical context.,,,
SS11,Social Sciences,High School,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",HS.11.,"Gather and analyze historical information, including contradictory data, from a variety of primary and secondary sources, including sources located on the Internet, to support or reject hypotheses.",,,
SS11,Social Sciences,High School,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",HS.12.,Construct and defend a written historical argument using relevant primary and secondary sources as evidence.,,,
SS11,Social Sciences,High School,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",HS.13.,"Differentiate between facts and historical interpretations, recognizing that a historian’s narrative reflects his or her judgment about the significance of particular facts.",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.14.,"Create and use maps, technology, imagery and other geographical representations to extrapolate and interpret geographic data.",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.15.,Analyze and illustrate geographic issues by synthesizing data derived from geographic representations.,,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.16.,"Analyze the interconnectedness of physical and human regional systems (e.g., a river valley and culture, water rights/use in regions, choice/impact of settlement locations) and their interconnectedness to global communities.",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.17.,"Explain how migration, immigration and communication (cultural exchange, convergence and divergence) lead to cultural changes and make predictions and draw conclusions about the global impact of cultural diffusion.",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.18.,"Analyze the impact of human migration on physical and human systems (e.g., urbanization, immigration, urban to rural).",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.19.,"Evaluate how differing points of view, self-interest, and global distribution of natural resources play a role in conflict over territory.",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.20.,"Analyze the impact on physical and human systems of resource development, use, and management and evaluate the issues of sustainability.",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.21.,Relate trends in world population to current events and analyze their interrelationship.,,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.22.,"Analyze how humans have used technology to modify the physical environment (e.g., dams, tractor, housing types).",,,
SS11,Social Sciences,High School,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,HS.23.,Analyze distribution and characteristics of human settlement patterns.,,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.24.,Analyze and critique the impact of constitutional amendments.,,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.25.,"Describe elements of early governments (i.e., Greek, Roman, English, and others) that are visible in United States government structure.",,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.26.,"Define and compare/contrast United States republican government to direct democracy, socialism, communism, theocracy, oligarchy.",,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.27.,Examine functions and process of United States government.,,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.28.,"Evaluate how governments interact at the local, state, tribal, national, and global levels.",,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.29.,"Examine the structures and functions of Oregon’s state, county, local and regional governments.",,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.30.,"Analyze the roles and activities of political parties, interest groups and mass media and how they affect the beliefs and behaviors of local, state, and national constituencies.",,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.31.,Describe United States foreign policy and evaluate its impact on the United States and other countries.,,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.32.,"Examine and evaluate documents and decisions related to the Constitution and Supreme Court decisions (e.g., Federalist Papers, Constitution, Marbury v. Madison, Bill of Rights, Constitutional amendments, Declaration of Independence).",,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.33.,Explain the role of government in various current events.,,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.34.,"Explain the responsibilities of citizens (e.g., vote, pay taxes).",,,
SS11,Social Sciences,High School,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",HS.35.,"Examine the pluralistic realities of society (e.g., race, poverty, gender, and age), recognizing issues of equity, and evaluating need for change.",,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.36.,"Identify sources of credit and the advantages and disadvantages of using them and explain the significance of developing a positive credit rating and describe the advantages it can provide, the inherent cost of maintaining a credit card balance, and the risk of accumulating too much debt, identifying ""good debt"" versus ""bad debt.""",,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.37.,Explain and analyze the kinds and costs of insurance.,,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.38.,"Explain how consumers can protect themselves from fraud, identity theft, bankruptcy, and foreclosure.",,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.39.,"Compare and contrast tools for payment (e.g., cash, credit, check, debit card, phone, mobile) and explain the advantages and disadvantages of each.",,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.40.,Identify and explain different opportunities for investment and draw economic conclusions from market data.,,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.41.,Demonstrate the ability to prepare and file simple state and federal tax forms.,,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.42.,"Compare and contrast different options for long term investment (e.g., stocks, bond, CDs, mutual funds IRA, 401k, pension plans, Social Security).",,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.43.,"Compare and contrast of various types of loans available and how to obtain them, including student loans.",,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.44.,Describe advantages and disadvantages of on-line banking options.,,,
SS11,Social Sciences,High School,,Financial Literacy,,Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,HS.45.,Explain how to prepare a budget that allows for “living within one’s means.”,,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.46.,"Distinguish between fiscal and monetary policies, and describe the role and function of the Federal Reserve.",,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.47.,"Explain how the global economy has developed and describe the involvement of free trade, comparative advantage, IMF, WTO, World Bank, and technology.",,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.48.,Explain economic challenges to growth in developing countries.,,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.49.,Compare and contrast methods of business organization.,,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.50.,"Explain how economic indicators (including, but not limited to GDP, unemployment, Consumer Price Index [CPI], inflation) describe the condition of the economy.",,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.51.,"Explain how supply and demand represent economic activity and describe the factors that cause them to shift.  Define economic terms (e.g., elasticity, substitution, regulation, legislation) and identify examples of them in the current economy.",,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.52.,Explain how the American labor system impacts competition and trade in domestic and world markets.,,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.53.,"Describe characteristics of command, market, traditional, and mixed economies and how they affect jobs and standards of living.",,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.54.,Explain the function of the stock market.,,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.55.,Explain business cycles and how they affect producers and consumers.,,,
SS11,Social Sciences,High School,,Economics,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.,HS.56.,"Describe the “circular flow” of economic activity and the role of producers, consumers, and government.",,,
SS11,Social Sciences,High School,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",HS.57.,"Define, research, and explain an event, issue, problem, or phenomenon and its significance to society.",,,
SS11,Social Sciences,High School,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",HS.58.,"Gather, analyze, use, and document information from various sources, distinguishing facts, opinions, inferences, biases, stereotypes, and persuasive appeals.",,,
