           ,Subject,Grade,             ,Diciplinary Core Idea,              ,Performance Expectations,               ,     ,      ,       ,        
SC14,Science (2014),Fifth Grade,5-PS1,Matter and Its Interactions,5-PS1-2,"Measure and graph quantities to provide evidence that regardless of the type of change that occurs when heating, cooling, or mixing substances, the total weight of matter is conserved.",,"Clarification Statement: Examples of reactions or changes could include phase changes, dissolving, and mixing that form new substances.",,,
SC14,Science (2014),Fifth Grade,5-PS1,Matter and Its Interactions,5-PS1-2,"Measure and graph quantities to provide evidence that regardless of the type of change that occurs when heating, cooling, or mixing substances, the total weight of matter is conserved.",,Assessment Boundary: Assessment does not include distinguishing mass and weight.,,,
SC14,Science (2014),Fifth Grade,5-PS1,Matter and Its Interactions,5-PS1-3,Make observations and measurements to identify materials based on their properties.,,"Clarification Statement: Examples of materials to be identified could include baking soda and other powders, metals, minerals, and liquids. Examples of properties could include color, hardness, reflectivity, electrical conductivity, thermal conductivity, response to magnetic forces, and solubility; density is not intended as an identifiable property.",,,
SC14,Science (2014),Fifth Grade,5-PS1,Matter and Its Interactions,5-PS1-3,Make observations and measurements to identify materials based on their properties.,,Assessment Boundary: Assessment does not include density or distinguishing mass and weight.,,,
SC14,Science (2014),Fifth Grade,5-PS1,Matter and Its Interactions,5-PS1-4,Conduct an investigation to determine whether the mixing of two or more substances results in new substances.,,,,,
SC14,Science (2014),Fifth Grade,5-PS2,Motion and Stability: Forces and Interactions,5-PS2-1,Support an argument that the gravitational force exerted by Earth on objects is directed down.,,Clarification Statement: “Down” is a local description of the direction that points toward the center of the spherical Earth.,,,
SC14,Science (2014),Fifth Grade,5-PS2,Motion and Stability: Forces and Interactions,5-PS2-1,Support an argument that the gravitational force exerted by Earth on objects is directed down.,,Assessment Boundary: Assessment does not include mathematical representation of gravitational force.,,,
SC14,Science (2014),Fifth Grade,5-PS3,Energy,5-PS3-1,"Use models to describe that energy in animals’ food (used for body repair, growth, motion, and to maintain body warmth) was once energy from the sun.",,"Clarification Statement: Examples of models could include diagrams, and flow charts.",,,
SC14,Science (2014),Fifth Grade,5-LS1,From Molecules to Organisms: Structures and Processes,5-LS1-1,Support an argument that plants get the materials they need for growth chiefly from air and water.,,"Clarification Statement: Emphasis is on the idea that plant matter comes mostly from air and water, not from the soil.",,,
SC14,Science (2014),Fifth Grade,5-LS2,"Ecosystems: Interactions, Energy, and Dynamics",5-LS2-1,"Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment.",,"Clarification Statement: Emphasis is on the idea that matter that is not food (air, water, decomposed materials in soil) is changed by plants into matter that is food. Examples of systems could include organisms, ecosystems, and the Earth.",,,
SC14,Science (2014),Fifth Grade,5-LS2,"Ecosystems: Interactions, Energy, and Dynamics",5-LS2-1,"Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment.",,Assessment Boundary: Assessment does not include molecular explanations.,,,
SC14,Science (2014),Fifth Grade,5-ESS1,Earth's Place in the Universe,5-ESS1-1,Support an argument that differences in the apparent brightness of the sun compared to other stars is due to their relative distances from Earth.,,"Assessment Boundary: Assessment is limited to relative distances, not sizes, of stars. Assessment does not include other factors that affect apparent brightness (such as stellar masses, age, stage).",,,
SC14,Science (2014),Fifth Grade,5-ESS1,Earth's Place in the Universe,5-ESS1-2,"Represent data in graphical displays to reveal patterns of daily changes in length and direction of shadows, day and night, and the seasonal appearance of some stars in the night sky.",,Clarification Statement: Examples of patterns could include the position and motion of Earth with respect to the sun and selected stars that are visible only in particular months.,,,
SC14,Science (2014),Fifth Grade,5-ESS1,Earth's Place in the Universe,5-ESS1-2,"Represent data in graphical displays to reveal patterns of daily changes in length and direction of shadows, day and night, and the seasonal appearance of some stars in the night sky.",,Assessment Boundary: Assessment does not include causes of seasons.,,,
SC14,Science (2014),Fifth Grade,5-ESS2,Earth's Systems,5-ESS2-1,"Develop a model using an example to describe ways the geosphere, biosphere, hydrosphere, and/or atmosphere interact.",,"Clarification Statement: Examples could include the influence of the ocean on ecosystems, landform shape, and climate; the influence of the atmosphere on landforms and ecosystems through weather and climate; and the influence of mountain ranges on winds and clouds in the atmosphere. The geosphere, hydrosphere, atmosphere, and biosphere are each a system.",,,
SC14,Science (2014),Fifth Grade,5-ESS2,Earth's Systems,5-ESS2-1,"Develop a model using an example to describe ways the geosphere, biosphere, hydrosphere, and/or atmosphere interact.",,Assessment Boundary: Assessment is limited to the interactions of two systems at a time.,,,
SC14,Science (2014),Fifth Grade,5-ESS2,Earth's Systems,5-ESS2-2,Describe and graph the amounts and percentages of water and fresh water in various reservoirs to provide evidence about the distribution of water on Earth.,,"Assessment Boundary: Assessment is limited to oceans, lakes, rivers, glaciers, ground water, and polar ice caps, and does not include the atmosphere.",,,
SC14,Science (2014),Fifth Grade,5-ESS3,Earth and Human Activity,5-ESS3-1,Obtain and combine information about ways individual communities use science ideas to protect the Earth’s resources and environment.,,,,,
SC14,Science (2014),Fifth Grade,3-5-ETS1,Engineering Design,3-5-ETS1-1,"Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost.",,,,,
SC14,Science (2014),Fifth Grade,3-5-ETS1,Engineering Design,3-5-ETS1-2,Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.,,,,,
SC14,Science (2014),Fifth Grade,3-5-ETS1,Engineering Design,3-5-ETS1-3,Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.,,,,,
SC14,Science (2014),Sixth Grade,MS-PS3,Energy,MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",,"Clarification Statement: Examples of devices could include an insulated box, a solar cooker, and a Styrofoam cup.",,,
SC14,Science (2014),Sixth Grade,MS-PS3,Energy,MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",,Assessment Boundary: Assessment does not include calculating the total amount of thermal energy transferred.,,,
SC14,Science (2014),Sixth Grade,MS-PS3,Energy,MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",,"Clarification Statement: Examples of experiments could include comparing final water temperatures after different masses of ice melted in the same volume of water with the same initial temperature, the temperature change of samples of different materials with the same mass as they cool or heat in the environment, or the same material with different masses when a specific amount of energy is added.",,,
SC14,Science (2014),Sixth Grade,MS-PS3,Energy,MS-PS3-4,"Plan an investigation to determine the relationships among the energy transferred, the type of matter, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.",,Assessment Boundary: Assessment does not include calculating the total amount of thermal energy transferred.,,,
SC14,Science (2014),Sixth Grade,MS-PS3,Energy,MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",,Clarification Statement: Examples of empirical evidence used in arguments could include an inventory or other representation of the energy before and after the transfer in the form of temperature changes or motion of object.,,,
SC14,Science (2014),Sixth Grade,MS-PS3,Energy,MS-PS3-5,"Construct, use, and present arguments to support the claim that when the kinetic energy of an object changes, energy is transferred to or from the object.",,Assessment Boundary: Assessment does not include calculations of energy.,,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,,"Clarification Statement: Emphasis is on developing evidence that living things are made of cells, distinguishing between living and non-living things, and understanding that living things may be made of one cell or many and varied cells.",,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways parts of cells contribute to the function.,,"Clarification Statement: Emphasis is on the cell functioning as a whole system and the primary role of identified parts of the cell, specifically the nucleus, chloroplasts, mitochondria, cell membrane, and cell wall.",,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways parts of cells contribute to the function.,,Assessment Boundary: Assessment of organelle structure/function relationships is limited to the cell wall and cell membrane. Assessment of the function of the other organelles is limited to their relationship to the whole cell. Assessment does not include the biochemical function of cells or cell parts.,,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,,Clarification Statement: Emphasis is on the conceptual understanding that cells form tissues and tissues form organs specialized for particular body functions. Examples could include the interaction of subsystems within a system and the normal functioning of those systems.,,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,,"Assessment Boundary: Assessment does not include the mechanism of one body system independent of others. Assessment is limited to the circulatory, excretory, digestive, respiratory, muscular, and nervous systems.",,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,,"Clarification Statement: Examples of behaviors that affect the probability of animal reproduction could include nest building to protect young from cold, herding of animals to protect young from predators, and vocalization of animals and colorful plumage to attract mates for breeding. Examples of animal behaviors that affect the probability of plant reproduction could include transferring pollen or seeds, and creating conditions for seed germination and growth. Examples of plant structures could include bright flowers attracting butterflies that transfer pollen, flower nectar and odors that attract insects that transfer pollen, and hard shells on nuts that squirrels bury.",,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,,"Clarification Statement: Examples of local environmental conditions could include availability of food, light, space, and water. Examples of genetic factors could include large breed cattle and species of grass affecting growth of organisms. Examples of evidence could include drought decreasing plant growth, fertilizer increasing plant growth, different varieties of plant seeds growing at different rates in different conditions, and fish growing larger in large ponds than they do in small ponds.",,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,,"Assessment Boundary: Assessment does not include genetic mechanisms, gene regulation, or biochemical processes.",,,
SC14,Science (2014),Sixth Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,,Assessment Boundary: Assessment does not include mechanisms for the transmission of this information.,,,
SC14,Science (2014),Sixth Grade,MS-LS3,Heredity: Inheritance and Variation of Traits,MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,,"Clarification Statement: Emphasis is on using models such as Punnett squares, diagrams, and simulations to describe the cause and effect relationship of gene transmission from parent(s) to offspring and resulting genetic variation.",,,
SC14,Science (2014),Sixth Grade,MS-ESS2,Earth's Systems,MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,,Clarification Statement: Emphasis is on the ways water changes its state as it moves through the multiple pathways of the hydrologic cycle. Examples of models can be conceptual or physical.,,,
SC14,Science (2014),Sixth Grade,MS-ESS2,Earth's Systems,MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,,Assessment Boundary: A quantitative understanding of the latent heats of vaporization and fusion is not assessed.,,,
SC14,Science (2014),Sixth Grade,MS-ESS2,Earth's Systems,MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses results in changes in weather conditions.,,"Clarification Statement: Emphasis is on how air masses flow from regions of high pressure to low pressure, causing weather (defined by temperature, pressure, humidity, precipitation, and wind) at a fixed location to change over time, and how sudden changes in weather can result when different air masses collide. Emphasis is on how weather can be predicted within probabilistic ranges. Examples of data can be provided to students (such as weather maps, diagrams, and visualizations) or obtained through laboratory experiments (such as with condensation).",,,
SC14,Science (2014),Sixth Grade,MS-ESS2,Earth's Systems,MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses results in changes in weather conditions.,,Assessment Boundary: Assessment does not include recalling the names of cloud types or weather symbols used on weather maps or the reported diagrams from weather stations.,,,
SC14,Science (2014),Sixth Grade,MS-ESS2,Earth's Systems,MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,,"Clarification Statement: Emphasis is on how patterns vary by latitude, altitude, and geographic land distribution. Emphasis of atmospheric circulation is on the sunlight-driven latitudinal banding, the Coriolis effect, and resulting prevailing winds; emphasis of ocean circulation is on the transfer of heat by the global ocean convection cycle, which is constrained by the Coriolis effect and the outlines of continents. Examples of models can be diagrams, maps and globes, or digital representations.",,,
SC14,Science (2014),Sixth Grade,MS-ESS2,Earth's Systems,MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,,Assessment Boundary: Assessment does not include the dynamics of the Coriolis effect.,,,
SC14,Science (2014),Sixth Grade,MS-ESS3,Earth and Human Activity,MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,,"Clarification Statement: Examples of the design process include examining human environmental impacts, assessing the kinds of solutions that are feasible, and designing and evaluating solutions that could reduce that impact. Examples of human impacts can include water usage (such as the withdrawal of water from streams and aquifers or the construction of dams and levees), land usage (such as urban development, agriculture, or the removal of wetlands), and pollution (such as of the air, water, or land).",,,
SC14,Science (2014),Sixth Grade,MS-ESS3,Earth and Human Activity,MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,,"Clarification Statement: Examples of factors include human activities (such as fossil fuel combustion, cement production, and agricultural activity) and natural processes (such as changes in incoming solar radiation or volcanic activity). Examples of evidence can include tables, graphs, and maps of global and regional temperatures, atmospheric levels of gases such as carbon dioxide and methane, and the rates of human activities. Emphasis is on the major role that human activities play in causing the rise in global temperatures.",,,
SC14,Science (2014),Sixth Grade,MS-ETS1,Engineering Design,MS-ETS1-1,"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution, taking into account relevant scientific principles and potential impacts on people and the natural environment that may limit possible solutions.",,,,,
SC14,Science (2014),Sixth Grade,MS-ETS1,Engineering Design,MS-ETS1-2,Evaluate competing design solutions using a systematic process to determine how well they meet the criteria and constraints of the problem.,,,,,
SC14,Science (2014),Sixth Grade,MS-ETS1,Engineering Design,MS-ETS1-3,Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success.,,,,,
SC14,Science (2014),Sixth Grade,MS-ETS1,Engineering Design,MS-ETS1-4,"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process such that an optimal design can be achieved.",,,,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,,"Clarification Statement: Emphasis is on developing models of molecules that vary in complexity. Examples of simple molecules could include ammonia and methanol. Examples of extended structures could include sodium chloride or diamonds. Examples of molecular-level models could include drawings, 3D ball and stick structures, or computer representations showing different molecules with different types of atoms.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,,"Assessment Boundary: Assessment does not include valence electrons and bonding energy, discussing the ionic nature of subunits of complex structures, or a complete description of all individual atoms in a complex molecule or extended structure.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,,"Clarification Statement: Examples of reactions could include burning sugar or steel wool, fat reacting with sodium hydroxide, and mixing zinc with hydrogen chloride.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,,"Assessment Boundary: Assessment is limited to analysis of the following properties: density, melting point, boiling point, solubility, flammability, and odor.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,,"Clarification Statement: Emphasis is on natural resources that undergo a chemical process to form the synthetic material. Examples of new materials could include new medicine, foods, and alternative fuels.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,,Assessment Boundary: Assessment is limited to qualitative information.,,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",,"Clarification Statement: Emphasis is on qualitative molecular-level models of solids, liquids, and gases to show that adding or removing thermal energy increases or decreases kinetic energy of the particles until a change of state occurs. Examples of models could include drawing and diagrams. Examples of particles could include molecules or inert atoms. Examples of pure substances could include water, carbon dioxide, and helium.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,,"Clarification Statement: Emphasis is on law of conservation of matter and on physical models or drawings, including digital forms, that represent atoms.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,,"Assessment Boundary: Assessment does not include the use of atomic masses, balancing symbolic equations, or intermolecular forces.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",,"Clarification Statement: Emphasis is on the design, controlling the transfer of energy to the environment, and modification of a device using factors such as type and concentration of a substance. Examples of designs could involve chemical reactions such as dissolving ammonium chloride or calcium chloride.",,,
SC14,Science (2014),Seventh Grade,MS-PS1,Matter and Its Interactions,MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",,"Assessment Boundary: Assessment is limited to the criteria of amount, time, and temperature of substance in testing the device.",,,
SC14,Science (2014),Seventh Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,,Clarification Statement: Emphasis is on tracing movement of matter and flow of energy.,,,
SC14,Science (2014),Seventh Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,,Assessment Boundary: Assessment does not include the biochemical mechanisms of photosynthesis.,,,
SC14,Science (2014),Seventh Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,,"Clarification Statement: Emphasis is on describing that molecules are broken apart and put back together and that in this process, energy is released.",,,
SC14,Science (2014),Seventh Grade,MS-LS1,From Molecules to Organisms: Structures and Processes,MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,,Assessment Boundary: Assessment does not include details of the chemical reactions for photosynthesis or respiration.,,,
SC14,Science (2014),Seventh Grade,MS-LS2,"Ecosystems: Interactions, Energy, and Dynamics",MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,,Clarification Statement: Emphasis is on cause and effect relationships between resources and growth of individual organisms and the numbers of organisms in ecosystems during periods of abundant and scarce resources.,,,
SC14,Science (2014),Seventh Grade,MS-LS2,"Ecosystems: Interactions, Energy, and Dynamics",MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,,"Clarification Statement: Emphasis is on predicting consistent patterns of interactions in different ecosystems in terms of the relationships among and between organisms and abiotic components of ecosystems. Examples of types of interactions could include competitive, predatory, and mutually beneficial.",,,
SC14,Science (2014),Seventh Grade,MS-LS2,"Ecosystems: Interactions, Energy, and Dynamics",MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,,"Clarification Statement: Emphasis is on describing the conservation of matter and flow of energy into and out of various ecosystems, and on defining the boundaries of the system.",,,
SC14,Science (2014),Seventh Grade,MS-LS2,"Ecosystems: Interactions, Energy, and Dynamics",MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,,Assessment Boundary: Assessment does not include the use of chemical reactions to describe the processes.,,,
SC14,Science (2014),Seventh Grade,MS-LS2,"Ecosystems: Interactions, Energy, and Dynamics",MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,,"Clarification Statement: Emphasis is on recognizing patterns in data and making warranted inferences about changes in populations, and on evaluating empirical evidence supporting arguments about changes to ecosystems.",,,
SC14,Science (2014),Seventh Grade,MS-LS2,"Ecosystems: Interactions, Energy, and Dynamics",MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,,"Clarification Statement: Examples of ecosystem services could include water purification, nutrient recycling, and prevention of soil erosion. Examples of design solution constraints could include scientific, economic, and social considerations.",,,
SC14,Science (2014),Seventh Grade,MS-ESS2,Earth's Systems,MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,,"Clarification Statement: Emphasis is on the processes of melting, crystallization, weathering, deformation, and sedimentation, which act together to form minerals and rocks through the cycling of Earth&rsquo;s materials.",,,
SC14,Science (2014),Seventh Grade,MS-ESS2,Earth's Systems,MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,,Assessment Boundary: Assessment does not include the identification and naming of minerals.,,,
SC14,Science (2014),Seventh Grade,MS-ESS2,Earth's Systems,MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,,"Clarification Statement: Emphasis is on how processes change Earth&rsquo;s surface at time and spatial scales that can be large (such as slow plate motions or the uplift of large mountain ranges) or small (such as rapid landslides or microscopic geochemical reactions), and how many geoscience processes (such as earthquakes, volcanoes, and meteor impacts) usually behave gradually but are punctuated by catastrophic events. Examples of geoscience processes include surface weathering and deposition by the movements of water, ice, and wind. Emphasis is on geoscience processes that shape local geographic features, where appropriate.",,,
SC14,Science (2014),Seventh Grade,MS-ESS2,Earth's Systems,MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",,"Clarification Statement: Examples of data include similarities of rock and fossil types on different continents, the shapes of the continents (including continental shelves), and the locations of ocean structures (such as ridges, fracture zones, and trenches).",,,
SC14,Science (2014),Seventh Grade,MS-ESS2,Earth's Systems,MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",,Assessment Boundary: Paleomagnetic anomalies in oceanic and continental crust are not assessed.,,,
SC14,Science (2014),Seventh Grade,MS-ESS3,Earth and Human Activity,MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",,"Clarification Statement: Emphasis is on how these resources are limited and typically non-renewable, and how their distributions are significantly changing as a result of removal by humans. Examples of uneven distributions of resources as a result of past processes include but are not limited to petroleum (locations of the burial of organic marine sediments and subsequent geologic traps), metal ores (locations of past volcanic and hydrothermal activity associated with subduction zones), and soil (locations of active weathering and/or deposition of rock).",,,
SC14,Science (2014),Seventh Grade,MS-ESS3,Earth and Human Activity,MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,,"Clarification Statement: Emphasis is on how some natural hazards, such as volcanic eruptions and severe weather, are preceded by phenomena that allow for reliable predictions, but others, such as earthquakes, occur suddenly and with no notice, and thus are not yet predictable. Examples of natural hazards can be taken from interior processes (such as earthquakes and volcanic eruptions), surface processes (such as mass wasting and tsunamis), or severe weather events (such as hurricanes, tornadoes, and floods). Examples of data can include the locations, magnitudes, and frequencies of the natural hazards. Examples of technologies can be global (such as satellite systems to monitor hurricanes or forest fires) or local (such as building basements in tornado-prone regions or reservoirs to mitigate droughts).",,,
SC14,Science (2014),Seventh Grade,MS-ETS1,Engineering Design,MS-ETS1-1,"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution, taking into account relevant scientific principles and potential impacts on people and the natural environment that may limit possible solutions.",,,,,
SC14,Science (2014),Seventh Grade,MS-ETS1,Engineering Design,MS-ETS1-2,Evaluate competing design solutions using a systematic process to determine how well they meet the criteria and constraints of the problem.,,,,,
SC14,Science (2014),Seventh Grade,MS-ETS1,Engineering Design,MS-ETS1-3,Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success.,,,,,
SC14,Science (2014),Seventh Grade,MS-ETS1,Engineering Design,MS-ETS1-4,"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process such that an optimal design can be achieved.",,,,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-1,Apply Newton’s Third Law to design a solution to a problem involving the motion of two colliding objects.,,"Clarification Statement: Examples of practical problems could include the impact of collisions between two cars, between a car and stationary objects, and between a meteor and a space vehicle.",,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-1,Apply Newton’s Third Law to design a solution to a problem involving the motion of two colliding objects.,,Assessment Boundary: Assessment is limited to vertical or horizontal interactions in one dimension.,,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-2,Plan an investigation to provide evidence thatthe change in an object’s motion depends on the sum of the forces on the object and the mass of the object.,,"Clarification Statement: Emphasis is on balanced (Newton’s First Law) and unbalanced forces in a system, qualitative comparisons of forces, mass and changes in motion (Newton’s Second Law), frame of reference, and specification of units.",,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-2,Plan an investigation to provide evidence thatthe change in an object’s motion depends on the sum of the forces on the object and the mass of the object.,,Assessment Boundary: Assessment is limited to forces and changes in motion in one-dimension in an inertial reference frame and to change in one variable at a time. Assessment does not include the use of trigonometry.,,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,,"Clarification Statement: Examples of devices that use electric and magnetic forces could include electromagnets, electric motors, or generators. Examples of data could include the effect of the number of turns of wire on the strength of an electromagnet, or the effect of increasing the number or strength of magnets on the speed of an electric motor.",,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,,Assessment Boundary: Assessment about questions that require quantitative answers is limited to proportional reasoning and algebraic thinking.,,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,,"Clarification Statement: Examples of evidence for arguments could include data generated from simulations or digital tools; and charts displaying mass, strength of interaction, distance from the Sun, and orbital periods of objects within the solar system.",,,
SC14,Science (2014),Eighth Grade,MS-PS2,Motion and Stability: Forces and Interactions,MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,,Assessment Boundary: Assessment does not include Newton’s Law of Gravitation or Kepler’s Laws.,,,
