           ,Subject,Grade Band,             ,Standard,    ,               ,Proficiency Level,      ,       ,        
ELP14,English Language Proficiency,Second/Third Grade,2-3.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"use an increasing range of strategies to determine the main idea or message, identify or answer questions about some key details that support the main idea/message, retell a variety of stories from read-alouds, written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"use a wide range of strategies to determine the main idea or message, tell how key details support the main idea, retell a variety of stories from read-alouds, written texts, and oral communications.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"listen to and occasionally participate in short conversations, respond to simple yes/no and some wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"participate in short conversations, discussions, and written exchanges, take turns, respond to simple yes/no and wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"participate in short discussions and written exchanges, follow the rules for discussion, ask questions to gain information or clarify understanding, respond to the comments of others, contribute his or her own comments about familiar topics and texts.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"participate in discussions, conversations, and written exchanges, follow the rules for discussion, ask and answer questions, build on the ideas of others, contribute his or her own ideas about a variety of topics and texts.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"participate in extended discussions, conversations, and written exchanges, follow the rules for discussion, ask and answer questions, build on the ideas of others, express his or her own ideas about a variety of topics and texts.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"communicate simple information about familiar texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"deliver simple oral presentations, compose written texts about familiar texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"deliver short oral presentations, compose written narratives, compose informational texts about familiar texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"deliver short oral presentations, compose written narratives, compose informational texts about a variety of texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"with some details, deliver oral presentations, compose written narratives, compose informational texts about a variety of texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,express an opinion about a familiar topic.,,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,express an opinion about a familiar topic or story.,,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"express an opinion, give one or more reasons for the opinion about a familiar topic or story.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"introduce a topic, express opinions, give several reasons for the opinions about a variety of topics.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"introduce a topic, express opinions, give several reasons for the opinions, provide a concluding statement about a variety of topics.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support, carry out short individual or shared research projects, gather information from provided sources, label information.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support, carry out short individual or shared research projects, recall information from experience, gather&nbsp; information from provided sources, record some information/observations in simple notes.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with prompting and support, carry out short individual or shared research projects, recall information from experience, gather information from provided sources, record information/ observations in orderly notes.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"with prompting and support, carry out short individual or shared research projects, recall information from experience, gather information from multiple sources, sort evidence into provided categories.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"carry out short individual or shared research projects, recall information from experience, gather information from multiple sources, sort evidence into categories. ",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support, use a few frequently occurring words and phrases to identify a point an author or a speaker makes.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support, identify a reason an author or a speaker gives to support the main point.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,tell how one or two reasons support the main point an author or a speaker makes.,,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,tell how one or two reasons support the specific points an author or a speaker makes.,,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,describe how reasons support the specific points an author or a speaker makes.,,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"recognize the meaning of some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"show increasing awareness of differences between informal&nbsp; &ldquo;playground speech&rdquo;&nbsp; and language appropriate to the classroom, use some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"compare examples of the formal and informal use of English, (at Grade 3), use an increasing number of general academic and content-specific words in conversations and discussions.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"adapt language choices, as appropriate, to formal and informal contexts, (at Grade 3), use a wider range of general academic and content-specific words in conversations and discussions.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"adapt language choices, as appropriate, to formal and informal contexts, (at Grade 3), use a wide variety of general and content-specific academic words and phrases in conversations or in short written texts.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"relying heavily on visual aids, context, and knowledge of morphology in his or her native language, recognize the meaning of a few frequently occurring words, simple phrases, and formulaic expressions in simple oral discourse, read-alouds, and written texts about familiar topics, experiences, or events. ",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"using context, visual aids, and knowledge of morphology in his or her native language, ask and answer questions about the meaning of frequently occurring words, phrases, and expressions in simple oral discourse, read-alouds, and written texts about familiar topics, experiences, or events. ",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"using context, some visual aids, reference materials, and a developing knowledge of English morphology, determine the meaning of less-frequently occurring words and phrases, content-specific words, and some idiomatic expressions in oral discourse, read-alouds, and written texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"using context, some visual aids, reference materials, and an increasing knowledge of morphology (root words, some prefixes), determine the meaning of less-frequently occurring words and phrases and some idiomatic expressions, (at Grade 3) some general academic and content-specific vocabulary in oral discourse, read-alouds, and written texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"using context, reference materials, and morphology (e.g., root words, simple inflectional endings such as&nbsp; ed,&nbsp; ing, and some common prefixes), determine the meaning of less-frequently occurring words, phrases, some idiomatic expressions, (at Grade 3) some general academic and content-specific vocabulary in oral presentations and written texts about a variety of topics, experiences, or events. ",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids),&nbsp;&nbsp; and using non-verbal communication, communicate simple information about an event or topic, use a narrow range of vocabulary and syntactically simple sentences with limited control.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including visual aids and modeled sentences), communicate simple information about a topic, recount two events in sequence, use frequently occurring linking words (e.g., and, then) with emerging control.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), present a few pieces of information about a topic, recount a short sequence of events, use common linking words (e.g., and, but, next, after) to connect ideas or events with developing control.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"with increasingly independent control, introduce an informational topic, present facts about the topic, recount a sequence of events, using temporal words (before, after, soon), use linking words (e.g., because, and, also) to connect ideas or events.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"with independent control, introduce an informational topic, present facts about the topic, use temporal words to recount a coherent sequence of events, use linking words (e.g., because, and, also) to connect ideas and events, provide a concluding statement about the topic.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids), understand and use a small number of frequently occurring nouns and verbs, respond to simple questions. ",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including visual aids and modeled sentences), recognize and use some frequently occurring collective nouns (e.g. group), recognize and use some frequently occurring verbs, adjectives, adverbs, and conjunctions, produce simple sentences in response to prompts. ",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), use some collective nouns, use the past tense of some frequently occurring irregular verbs, use some frequently occurring adjectives, adverbs, and conjunctions, produce and expand simple and some compound sentences.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"use collective nouns, use the past tense of frequently occurring irregular verbs, use an increasing number of adjectives, adverbs, and conjunctions, produce and expand simple, compound, and (at Grade 3) a few complex sentences.",,,
ELP14,English Language Proficiency,Second/Third Grade,2-3.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"use collective and commonly occurring abstract nouns (e.g. childhood), use the past tense of frequently occurring irregular verbs, use coordinating and commonly used subordinating conjunctions, adjectives, and adverbs, produce and expand simple, compound, and (at Grade 3) some complex sentences.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"use a very limited set of strategies to identify a few key words and phrases from read-alouds, simple written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"use an emerging set of strategies to identify the main topic,&nbsp; retell a few key details from read-alouds, simple written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"use a developing set of strategies to determine the main idea or theme, and, retell a few key details, retell familiar stories from read-alouds, simple written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"use an increasing range of strategies to determine the main idea or theme, and, explain how some key details support the main idea or theme, summarize part of a text from read-alouds, written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"use a wide range of strategies to determine two or more main ideas or themes, explain how key details support the main ideas or themes, summarize a text from read-alouds, written texts, and oral presentations.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"participate in short conversations, participate in short written exchanges, actively listen to others, respond to simple questions and some wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"participate in short conversations, participate in short written exchanges, actively listen to others, respond to simple questions and wh- questions about familiar topics and texts.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"participate in short conversations and discussions, participate in short written exchanges, respond to others&rsquo; comments, add some comments of his or her own, ask and answer questions about familiar topics and texts.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"participate in conversations and discussions, participate in written exchanges, build on the ideas of others, express his or her own ideas, ask and answer relevant questions, add relevant information and evidence about a variety of topics and texts.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"participate in extended conversations and discussions, participate in extended written exchanges, build on the ideas of others, express his or her own ideas clearly, pose and respond to relevant questions, add relevant and detailed information using evidence, summarize the key ideas expressed about a variety of topics and texts.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"communicate simple information about familiar texts, topics, events, or objects in the environment.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"deliver short oral presentations, compose written texts about familiar texts, topics, and experiences.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"including a few details, deliver short oral presentations, compose written narratives or informational texts about familiar texts, topics, and experiences. ",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"including some details, deliver short oral presentations, compose written narratives or informational texts about a variety of texts, topics, and experiences.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"including details and examples to develop a topic, deliver oral presentations, compose written narrative or informational texts about a variety of texts, topics, and experiences.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,express an opinion about a familiar topic.,,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"construct a simple claim about a familiar topic, give a reason to support the claim.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"construct a claim about familiar topics, introduce the topic, provide a few reasons or facts to support the claim.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"construct a claim about a variety of topics, introduce the topic, provide several reasons or facts to support the claim, provide a concluding statement.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"construct a claim about a variety of topics, introduce the topic, provide logically ordered reasons or facts to support the claim, provide a concluding statement.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"recall information from experience, gather information from a few provided sources, label some key information.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"recall information from experience, gather information from provided sources, record some information.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"recall information from experience, gather information from print and digital sources to answer a question, identify key information in orderly notes.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"recall information from experience, gather information from print and digital sources to answer a question, record information in organized notes, with charts, tables, or other graphics, as appropriate, provide a list of sources.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"recall information from experience, gather information from print and digital sources, summarize key ideas and information in detailed and orderly notes, with graphics as appropriate, provide a list of sources.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,identify a point an author or speaker makes.,,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"identify a reason an author or speaker gives to support a main point, agree or disagree with the author or speaker.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,tell how one or two reasons support the specific points an author or speaker makes or fails to make.,,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,describe how reasons support the specific points an author or speaker makes or fails to make.,,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"explain how an author or speaker uses reasons and evidence to support or fail to support particular points, (at grade 5) identify which reasons and evidence support which points.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"recognize the meaning of some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"with emerging control, adapt language choices to different social and academic contents, use some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"with developing control, adapt language choices according to purpose, task, and audience, use an increasing number of general academic and content-specific words, phrases, and expressions in conversation, discussions, and short written text.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"with increasing ease, adapt language choices and style (includes register) according to purpose, task, and audience, use a wider range of general academic and content-specific words and phrases in speech and writing.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"adapt language choices and style according to purpose, task, and audience, use a wide variety of general academic and content-specific words and phrases in speech and writing.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"relying heavily on context, visual aids, and knowledge of morphology in his or her native language, recognize the meaning of a few frequently occurring words, phrases, and formulaic expressions in simple oral discourse, read-alouds, and written texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"using context, some visual aids, reference materials, and knowledge of morphology in his or her native language, determine the meaning of some frequently occurring words, phrases, and expressions in simple oral discourse, read-alouds, and written texts about familiar topics, experiences, or events. ",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"using context, visual aids, reference materials, and a developing knowledge of English morphology, determine the meaning of frequently occurring words and phrases, determine the meanings of some idiomatic expressions in texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"using context, reference materials, and an increasing knowledge of English morphology, determine the meaning of general academic and content-specific words, phrases, determine the meaning of a growing number of idiomatic expressions in texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"using context, reference materials, and knowledge of English morphology, determine the meaning of general academic and content-specific words and phrases, determine the meaning of figurative language (e.g., metaphors, similes, adages, and proverbs) in texts about a variety of topics, experiences, or events. ",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids), and using non-verbal communication, communicate simple information about an event or topic, use a narrow range of vocabulary and syntactically simple sentences with limited control.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including visual aids and modeled sentences), communicate simple information about a topic, recount a simple sequence of events in order, use frequently occurring linking words (e.g., and, then) with emerging control.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), introduce an informational topic, present one or two facts about the topic, recount a short sequence of events in order, use an increasing range of temporal and other linking words (e.g., next, because, and, also), provide a concluding statement with developing control.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"introduce an informational topic, develop the topic with facts and details, recount a more detailed sequence of events, with a beginning, middle, and end, use transitional words and phrases to connect events, ideas, and opinions (e.g., after a while, for example, in order to, as a result), provide a conclusion with increasingly independent control.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"introduce an informational topic, develop the topic with facts and details, recount a more detailed sequence of events, with a beginning, middle, and end, use a variety of linking words and phrases to connect ideas, information, or events, provide a concluding statement or section.",,,
