           ,Subject,Grade,   ,              ,Core Standard,               ,Content Standard,      ,       ,        
SC09,Science (2009),High School,,H.2,"Interaction and Change: The components in a system can interact in dynamic ways that may result in change. In systems, changes occur with a flow of energy and/or transfer of matter.",H.2E.2,"Explain how Earth’s atmosphere, geosphere, and hydrosphere change over time and at varying rates.  Explain techniques used to elucidate the history of events on Earth.",,,
SC09,Science (2009),High School,,H.2,"Interaction and Change: The components in a system can interact in dynamic ways that may result in change. In systems, changes occur with a flow of energy and/or transfer of matter.",H.2E.3,"Describe how the universe, galaxies, stars, and planets evolve over time. ",,,
SC09,Science (2009),High School,,H.2,"Interaction and Change: The components in a system can interact in dynamic ways that may result in change. In systems, changes occur with a flow of energy and/or transfer of matter.",H.2E.4,Evaluate the impact of human activities on environmental quality and the sustainability of Earth systems.  Describe how environmental factors influence resource management.,,,
SC09,Science (2009),High School,,H.3,"Scientific Inquiry: Scientific inquiry is the investigation of the natural world by a systematic process that includes proposing a testable question or hypothesis and developing procedures for questioning, collecting, analyzing, and interpreting multiple forms of accurate and relevant data to produce justifiable evidence-based explanations and new explorations.",H.3S.1,"Based on observations and science principles, formulate a question or hypothesis that can be investigated through the collection and analysis of relevant information.",,,
SC09,Science (2009),High School,,H.3,"Scientific Inquiry: Scientific inquiry is the investigation of the natural world by a systematic process that includes proposing a testable question or hypothesis and developing procedures for questioning, collecting, analyzing, and interpreting multiple forms of accurate and relevant data to produce justifiable evidence-based explanations and new explorations.",H.3S.2,"Design and conduct a controlled experiment, field study, or other investigation to make systematic observations about the natural world, including the collection of sufficient and appropriate data.",,,
SC09,Science (2009),High School,,H.3,"Scientific Inquiry: Scientific inquiry is the investigation of the natural world by a systematic process that includes proposing a testable question or hypothesis and developing procedures for questioning, collecting, analyzing, and interpreting multiple forms of accurate and relevant data to produce justifiable evidence-based explanations and new explorations.",H.3S.3,"Analyze data and identify uncertainties.  Draw a valid conclusion, explain how it is supported by the evidence, and communicate the findings of a scientific investigation. ",,,
SC09,Science (2009),High School,,H.3,"Scientific Inquiry: Scientific inquiry is the investigation of the natural world by a systematic process that includes proposing a testable question or hypothesis and developing procedures for questioning, collecting, analyzing, and interpreting multiple forms of accurate and relevant data to produce justifiable evidence-based explanations and new explorations.",H.3S.4,Identify examples from the history of science that illustrate modification of scientific knowledge in light of challenges to prevailing explanations.,,,
SC09,Science (2009),High School,,H.3,"Scientific Inquiry: Scientific inquiry is the investigation of the natural world by a systematic process that includes proposing a testable question or hypothesis and developing procedures for questioning, collecting, analyzing, and interpreting multiple forms of accurate and relevant data to produce justifiable evidence-based explanations and new explorations.",H.3S.5,Explain how technological problems and advances create a demand for new scientific knowledge and how new knowledge enables the creation of new technologies.,,,
SC09,Science (2009),High School,,H.4,"Engineering Design: Engineering design is a process of formulating problem statements, identifying criteria and constraints, proposing and testing possible solutions, incorporating modifications based on test data, and communicating the recommendations.",H.4D.1,Define a problem and specify criteria for a solution within specific constraints or limits based on science principles.  Generate several possible solutions to a problem and use the concept of trade-offs to compare them in terms of criteria and constraints. ,,,
SC09,Science (2009),High School,,H.4,"Engineering Design: Engineering design is a process of formulating problem statements, identifying criteria and constraints, proposing and testing possible solutions, incorporating modifications based on test data, and communicating the recommendations.",H.4D.2,Create and test or otherwise analyze at least one of the more promising solutions.  Collect and process relevant data.  Incorporate modifications based on data from testing or other analysis. ,,,
SC09,Science (2009),High School,,H.4,"Engineering Design: Engineering design is a process of formulating problem statements, identifying criteria and constraints, proposing and testing possible solutions, incorporating modifications based on test data, and communicating the recommendations.",H.4D.3,"Analyze data, identify uncertainties, and display data so that the implications for the solution being tested are clear.",,,
SC09,Science (2009),High School,,H.4,"Engineering Design: Engineering design is a process of formulating problem statements, identifying criteria and constraints, proposing and testing possible solutions, incorporating modifications based on test data, and communicating the recommendations.",H.4D.4,"Recommend a proposed solution, identify its strengths and weaknesses, and describe how it is better than alternative designs.  Identify further engineering that might be done to refine the recommendations.",,,
SC09,Science (2009),High School,,H.4,"Engineering Design: Engineering design is a process of formulating problem statements, identifying criteria and constraints, proposing and testing possible solutions, incorporating modifications based on test data, and communicating the recommendations.",H.4D.5,Describe how new technologies enable new lines of scientific inquiry and are largely responsible for changes in how people live and work. ,,,
SC09,Science (2009),High School,,H.4,"Engineering Design: Engineering design is a process of formulating problem statements, identifying criteria and constraints, proposing and testing possible solutions, incorporating modifications based on test data, and communicating the recommendations.",H.4D.6,"Evaluate ways that ethics, public opinion, and government policy influence the work of engineers and scientists, and how the results of their work impact human society and the environment.",,,
