           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM03.CC,Describe different emotions.  (REC),HE.05.PM03.SM,"Demonstrate appropriate ways to express emotions, wants, and needs.  (REC)",,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM03.CC,Describe different emotions.  (REC),HE.05.PM03.IC,Explain how the expression of emotions may help and/or harm self and others.  (REC),,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM04.CC,Describe child abuse reporting law.  (REQ),HE.05.PM04.AI,Identify school and community resources to report child abuse.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM05.CC,"Identify personal stressors at home, in school and with peers.  (REC)",HE.05.PM05.SM,Demonstrate healthy strategies to manage stress.  (REC),,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM05.CC,"Identify personal stressors at home, in school and with peers.  (REC)",HE.05.PM05.GS,Set a goal related to a personal stressor and track progress with a stress management plan.  (REC),,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM05.CC,"Identify personal stressors at home, in school and with peers.  (REC)",HE.05.PM05.ADV,Encourage others to manage stress with healthy strategies.  (REC),,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM06.CC,"Recognize diversity among people including race, disability, gender identity, gender expression, and sexual orientation.  (REQ)",HE.05.PM06.IC,Verbally and non-verbally communicate respect for diversity.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM06.CC,"Recognize diversity among people including race, disability, gender identity, gender expression, and sexual orientation.  (REQ)",HE.05.PM06.ADV,Advocate respect for diversity.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 81-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.PM07.CC,Recognize the prevalence of eating disorders and disease amongst youth.  (REC),HE.05.PM07.INF,"Identify how culture, media, and technology influence food choice/ consumption, and eating behavior.  (REC)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP01.CC,Recognize health benefits of physical activity.  (REQ),HE.05.PP01.SM,"Identify personal health benefits (academic, physical, mental, emotional, and social) of physical activity.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP01.CC,Recognize health benefits of physical activity.  (REQ),HE.05.PP01.GS,Set a goal to participate in daily physical activity and track progress.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP01.CC,Recognize health benefits of physical activity.  (REQ),HE.05.PP01.ADV,Advocate for daily physical activity.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP02.CC,"Explain the components of health-related fitness; strength, flexibility, cardiovascular endurance.  (REQ)",HE.05.PP02.AI,"Identify physical activity examples that improve strength, flexibility, and cardiovascular endurance.   (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP03.CC,Describe the correct use of safety equipment during physical activity.  (REQ),HE.05.PP03.SM,Demonstrate the correct use of safety equipment during physical activity.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP03.CC,Describe the correct use of safety equipment during physical activity.  (REQ),HE.05.PP03.ADV,"Advocate for helmet use when biking, scootering, skateboarding, snowboarding, and skiing.   (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP04.CC,Describe the relationship between physical activity and food consumption.  (REQ),HE.05.PP04.AI,Explain the balance/imbalance of physical activity and food consumption.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.05.PP04.CC,Describe the relationship between physical activity and food consumption.  (REQ),HE.05.PP04.INF,Identify how media influences the balance/imbalance between physical activity and food consumption.,,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS01.CC,"Describe physical, social, and emotional changes that occur during puberty.  (REQ)",HE.05.PS01.AI,"Identify people at home, school or in the community who can provide medically accurate information about puberty.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS02.CC,Identify health care practices related to physical changes during puberty.   (REQ),HE.05.PS02.AI,"Identify people at home, school or in the community who can provide information about health care practices during puberty.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS02.CC,Identify health care practices related to physical changes during puberty.   (REQ),HE.05.PS02.SM,Demonstrate personal health care practices.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS03.CC,Recognize female and male reproductive systems including reproductive anatomy and function.  (REQ),HE.05.PS03.AI,Identify medically accurate information about female and male anatomy.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS03.CC,Recognize female and male reproductive systems including reproductive anatomy and function.  (REQ),HE.05.PS03.SM,Demonstrate use of medically accurate language for reproductive anatomy and reproduction.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS04.CC,Recognize that puberty prepares female and male reproductive systems for the potential to reproduce.   (REQ),HE.05.PS04.AI,"Describe physical changes related to reproduction, including menstruation.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS05.CC,Identify sexual orientation as the romantic attraction to someone of different or same gender.  (REQ),HE.05.PS05.AI,Identify trusted adult(s) to seek information about sexual orientation. and healthy sexuality.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS05.CC,Identify sexual orientation as the romantic attraction to someone of different or same gender.  (REQ),HE.05.PS05.SM,Demonstrate respect for self and others.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS06.CC,Recognize that abstinence is the most effective method of protection from STD/HIV and pregnancy.  (REQ),HE.05.PS06.INF,Identify influences that encourage young people to be abstinent.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS06.CC,Recognize that abstinence is the most effective method of protection from STD/HIV and pregnancy.  (REQ),HE.05.PS06.ADV,Advocate for choosing abstinence.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS07.CC,Identify HIV and methods of transmission.  (REQ),,No skill listed for this concept,,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS08.CC,Recognize sexual harassment and sexual abuse.  (REQ),HE.05.PS08.AI,Identify trusted adult(s) to report sexual harassment or sexual abuse.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS08.CC,Recognize sexual harassment and sexual abuse.  (REQ),HE.05.PS08.SM,"Demonstrate how to clearly say no, how to leave an uncomfortable situation, and how to report situation to trusted adult.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS08.CC,Recognize sexual harassment and sexual abuse.  (REQ),HE.05.PS08.SM,Practice and use refusal skills.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS09.CC,"Identify how culture, media and technology influence our ideas about healthy relationships.   (REQ)",,No skill listed for this concept,,
HE12,Health Education (2012),Fifth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12)]",HE.05.PS10.CC,Describe the characteristics of a healthy relationship.  (REQ),HE.05.PS10.IC,Demonstrate positive ways to communicate differences of opinion while maintaining a healthy relationship.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI01.CC,Identify labels on home and school products that give information about harmful ingredients.  (REQ),HE.05.UI01.AI,Explain signs and symbols that indicate harm to personal safety and health.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI01.CC,Identify labels on home and school products that give information about harmful ingredients.  (REQ),HE.05.UI01.SM,Demonstrate safe and healthy behaviors.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI01.CC,Identify labels on home and school products that give information about harmful ingredients.  (REQ),HE.05.UI01.ADV,"Advocate for safe, healthy products and places.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI02.CC,Describe ways to prevent fires and reduce the risk of injuries in case of fire.  (REQ),HE.05.UI02.AI,Identify how fires start and how fires can be prevented.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI02.CC,Describe ways to prevent fires and reduce the risk of injuries in case of fire.  (REQ),HE.05.UI02.IC,Demonstrate refusal skills if pressured to misuse fire or fireworks.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI03.CC,Identify safe behaviors in and around water.  (REQ),HE.05.UI03.SM,Demonstrate water safety behaviors.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI03.CC,Identify safe behaviors in and around water.  (REQ),HE.05.UI03.IC,Demonstrate communication skills encouraging water safety behavior.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI03.CC,Identify safe behaviors in and around water.  (REQ),HE.05.UI03.ADV,Encourage family and friends to practice water safety behavior.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI04.CC,Identify safe behaviors when traveling to and from school and in the community.  (REQ),HE.05.UI04.SM,"Demonstrate pedestrian, bike, and passenger safety.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI04.CC,Identify safe behaviors when traveling to and from school and in the community.  (REQ),HE.05.UI04.DM,Use decision making process when walking and biking to/from school and in the community.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI05.CC,Describe safe equipment use and behavior during sports/recreational activity. (REQ),HE.05.UI05.SM,Demonstrate safe equipment use and behavior during sports/recreational activity.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI06.CC,"Explain what to do during an emergency and/or natural disaster (e.g., flood, tsunami, earthquake).  (REQ)",HE.05.UI06.SM,Demonstrate safe behavior during an emergency.,,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI06.CC,"Explain what to do during an emergency and/or natural disaster (e.g., flood, tsunami, earthquake).  (REQ)",HE.05.UI06.GS,"Set a goal to develop an emergency plan, and practice it.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI07.CC,Identify basic first aid procedures.  (REQ),HE.05.UI07.SM,Demonstrate basic first aid.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI08.CC,Recognize importance of protecting vision and hearing.  (REQ),HE.05.UI08.SM,Demonstrate safe behaviors for vision and hearing.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI09.CC,Describe injury prevention laws.,HE.05.UI09.AI,Explain laws regarding helmet and seatbelt use.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI09.CC,Describe injury prevention laws.,HE.05.UI09.SM,Demonstrate helmet and seatbelt use.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District Curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.05.UI09.CC,Describe injury prevention laws.,HE.05.UI09.ADV,Encourage others to always use helmets and seatbelts.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS01.CC,Describe pro-social behaviors.  (REC),HE.05.VS01.SM,Demonstrate pro-social behaviors.  (REC),,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS01.CC,Describe pro-social behaviors.  (REC),HE.05.VS01.IC,Demonstrate refusal skills to prevent violence.  (REC),,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS02.CC,Recognize bullying and cyber bullying behavior and what to do in a bullying situation.  (REQ),HE.05.VS02.AI,Identify how to report unsafe situation to trusted adult(s). (Essential)  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS02.CC,Recognize bullying and cyber bullying behavior and what to do in a bullying situation.  (REQ),HE.05.VS02.SM,Demonstrate safe ways to respond to bullying and cyber bullying. (Essential)  (REQ),,
