           ,Subject,Grade,             ,Domain,              ,Cluster Statement,               ,Common Core Standard,                ,      ,       ,        
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.A,Represent and solve problems involving multiplication and division.,3.OA.2,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.A,Represent and solve problems involving multiplication and division.,3.OA.3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.A,Represent and solve problems involving multiplication and division.,3.OA.4,Determine the unknown whole number in a multiplication or division equation relating three whole numbers.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.B,Understand properties of multiplication and the relationship between multiplication and division.,3.OA.5,Apply properties of operations as strategies to multiply and divide. (Students need not use formal terms for these properties.),,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.B,Understand properties of multiplication and the relationship between multiplication and division.,3.OA.6,Understand division as an unknown-factor problem.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.C,Multiply and divide within 100.,3.OA.7,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 _ 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.D,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3.OA.8,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. (This standard is limited to problems posed with whole numbers and having whole number answers; students should know how to perform operations in the conventional order when there are no parentheses to specify a particular order [Order of Operations].),,,,
CCSSM,Mathematics (CCSS),Third Grade,,Operations and Algebraic Thinking (3.OA),3.OA.D,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",3.OA.9,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Number and Operations in Base Ten (3.NBT),3.NBT.E,Use place value understanding and properties of operations to perform multi-digit arithmetic. (A range of algorithms may be used),3.NBT.1,Use place value understanding to round whole numbers to the nearest 10 or 100.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Number and Operations in Base Ten (3.NBT),3.NBT.E,Use place value understanding and properties of operations to perform multi-digit arithmetic. (A range of algorithms may be used),3.NBT.2,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Number and Operations in Base Ten (3.NBT),3.NBT.E,Use place value understanding and properties of operations to perform multi-digit arithmetic. (A range of algorithms may be used),3.NBT.3,"Multiply one-digit whole numbers by multiples of 10 in the range 10–90 (e.g., 9 _ 80, 5 _ 60) using strategies based on place value and properties of operations.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,"Number and Operations - Fractions (3.NF)(Grade 3 expections in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8)",3.NF.F,Develop understanding of fractions as numbers.,3.NF.1,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b  equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,"Number and Operations - Fractions (3.NF)(Grade 3 expections in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8)",3.NF.F,Develop understanding of fractions as numbers.,3.NF.2,Understand a fraction as a number on the number line; represent fractions on a number line diagram.,3.NF.2a,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.,,
CCSSM,Mathematics (CCSS),Third Grade,,"Number and Operations - Fractions (3.NF)(Grade 3 expections in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8)",3.NF.F,Develop understanding of fractions as numbers.,3.NF.2,Understand a fraction as a number on the number line; represent fractions on a number line diagram.,3.NF.2b,Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.,,
CCSSM,Mathematics (CCSS),Third Grade,,"Number and Operations - Fractions (3.NF)(Grade 3 expections in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8)",3.NF.F,Develop understanding of fractions as numbers.,3.NF.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",3.NF.3a,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line.",,
CCSSM,Mathematics (CCSS),Third Grade,,"Number and Operations - Fractions (3.NF)(Grade 3 expections in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8)",3.NF.F,Develop understanding of fractions as numbers.,3.NF.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",3.NF.3b,"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3. Explain why the fractions are equivalent, e.g., by using a visual fraction model.",,
CCSSM,Mathematics (CCSS),Third Grade,,"Number and Operations - Fractions (3.NF)(Grade 3 expections in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8)",3.NF.F,Develop understanding of fractions as numbers.,3.NF.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",3.NF.3c,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers.",,
CCSSM,Mathematics (CCSS),Third Grade,,"Number and Operations - Fractions (3.NF)(Grade 3 expections in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8)",3.NF.F,Develop understanding of fractions as numbers.,3.NF.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",3.NF.3d,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols , =, or ",,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.G,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.1,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.G,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3.MD.2,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). (Excludes compound units such as cm3 and finding the geometric volume of a container.) Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.   (Excludes multiplicative comparison problems [problems involving notions of “times as much”; see Glossary, Table 2])",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.H,Represent and interpret data.,3.MD.3,Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step “how many more” and “how many less” problems using information presented in scaled bar graphs.,,,,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.H,Represent and interpret data.,3.MD.4,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.I,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.5,Recognize area as an attribute of plane figures and understand concepts of area measurement.,3.MD.5a,"A square with side length 1 unit, called “a unit square,” is said to have “one square unit” of area, and can be used to measure area.",,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.I,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.5,Recognize area as an attribute of plane figures and understand concepts of area measurement.,3.MD.5b,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.,,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.I,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.6,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.I,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.7,Relate area to the operations of multiplication and addition.,3.MD.7a,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.",,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.I,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.7,Relate area to the operations of multiplication and addition.,3.MD.7b,"Multiply side lengths to find areas of rectangles with whole number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.",,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.I,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.7,Relate area to the operations of multiplication and addition.,3.MD.7c,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a _ b and a _ c. Use area models to represent the distributive property in mathematical reasoning.,,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.I,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3.MD.7,Relate area to the operations of multiplication and addition.,3.MD.7d,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",,
CCSSM,Mathematics (CCSS),Third Grade,,Measurement and Data (3.MD),3.MD.J,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,3.MD.8,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Geometry (3.G),3.G.K,Reason with shapes and their attributes.,3.G.1,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",,,,
CCSSM,Mathematics (CCSS),Third Grade,,Geometry (3.G),3.G.K,Reason with shapes and their attributes.,3.G.2,Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.1,Make sense of problems and persevere in solving them.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.2,Reason abstractly and quantitatively.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.3,Construct viable arguments and critique the reasoning of others.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.4,Model with mathematics.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.5,Use appropriate tools strategically.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.6,Attend to precision.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.7,Look for and make use of structure.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Mathematical Practices (4.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,4.MP.8,Look for and express regularity in repeated reasoning.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Operations and Algebraic Thinking (4.OA),4.OA.A,Use the four operations with whole numbers to solve problems.,4.OA.1,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 _ 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Operations and Algebraic Thinking (4.OA),4.OA.A,Use the four operations with whole numbers to solve problems.,4.OA.2,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Operations and Algebraic Thinking (4.OA),4.OA.A,Use the four operations with whole numbers to solve problems.,4.OA.3,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Operations and Algebraic Thinking (4.OA),4.OA.B,Gain familiarity with factors and multiples.,4.OA.4,Find all factor pairs for a whole number in the range 1–100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1–100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1–100 is prime or composite.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Operations and Algebraic Thinking (4.OA),4.OA.C,Generate and analyze patterns.,4.OA.5,Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations in Base Ten (4.NBT)(Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)",4.NBT.D,Generalize place value understanding for multi-digit whole numbers.,4.NBT.1,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations in Base Ten (4.NBT)(Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)",4.NBT.D,Generalize place value understanding for multi-digit whole numbers.,4.NBT.2,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using , =, and ",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations in Base Ten (4.NBT)(Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)",4.NBT.D,Generalize place value understanding for multi-digit whole numbers.,4.NBT.3,Use place value understanding to round multi-digit whole numbers to any place.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations in Base Ten (4.NBT)(Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)",4.NBT.E,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4.NBT.4,Fluently add and subtract multi-digit whole numbers using the standard algorithm.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations in Base Ten (4.NBT)(Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)",4.NBT.E,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4.NBT.5,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations in Base Ten (4.NBT)(Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)",4.NBT.E,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4.NBT.6,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.F,Extend understanding of fraction equivalence and ordering.,4.NF.1,"Explain why a fraction a/b is equivalent to a fraction (n _ a)/(n _ b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.F,Extend understanding of fraction equivalence and ordering.,4.NF.2,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols , =, or ",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.G,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4.NF.3,Understand a fraction a/b with a  1 as a sum of fractions 1/b.,4.NF.3a,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.G,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4.NF.3,Understand a fraction a/b with a  1 as a sum of fractions 1/b.,4.NF.3b,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model.",,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.G,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4.NF.3,Understand a fraction a/b with a  1 as a sum of fractions 1/b.,4.NF.3c,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction.",,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.G,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4.NF.3,Understand a fraction a/b with a  1 as a sum of fractions 1/b.,4.NF.3d,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.",,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.G,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,4.NF.4a,Understand a fraction a/b as a multiple of 1/b.,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.G,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,4.NF.4b,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number.",,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.G,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,4.NF.4c,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem.",,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.H,"Understand decimal notation for fractions, and compare decimal fractions.",4.NF.5,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.H,"Understand decimal notation for fractions, and compare decimal fractions.",4.NF.6,Use decimal notation for fractions with denominators 10 or 100.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,"Number and Operations - Fractions (4.NF)(Grade 4 expections in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12 and 100.)",4.NF.H,"Understand decimal notation for fractions, and compare decimal fractions.",4.NF.7,"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols , =, or ",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.I,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,4.MD.1,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two column table.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.I,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,4.MD.2,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.I,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,4.MD.3,Apply the area and perimeter formulas for rectangles in real world and mathematical problems.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.J,Represent and interpret data.,4.MD.4,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.K,Geometric measurement: understand concepts of angle and measure angles.,4.MD.5,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:",4.MD.5a,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a “one-degree angle,” and can be used to measure angles.",,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.K,Geometric measurement: understand concepts of angle and measure angles.,4.MD.5,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:",4.MD.5b,An angle that turns through n one-degree angles is said to have an angle measure of n degrees.,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.K,Geometric measurement: understand concepts of angle and measure angles.,4.MD.6,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.,,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Measurement and Data (4.MD),4.MD.K,Geometric measurement: understand concepts of angle and measure angles.,4.MD.7,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Geometry (4.G),4.G.L,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4.G.1,"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Geometry (4.G),4.G.L,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4.G.2,"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles.",,,,
CCSSM,Mathematics (CCSS),Fourth Grade,,Geometry (4.G),4.G.L,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",4.G.3,Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.1,Make sense of problems and persevere in solving them.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.2,Reason abstractly and quantitatively.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.3,Construct viable arguments and critique the reasoning of others.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.4,Model with mathematics.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.5,Use appropriate tools strategically.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.6,Attend to precision.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.7,Look for and make use of structure.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Mathematical Practices (5.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,5.MP.8,Look for and express regularity in repeated reasoning.,,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Operations and Algebraic Thinking (5.OA),5.OA.A,Write and interpret numerical expressions.,5.OA.1,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",,,,
CCSSM,Mathematics (CCSS),Fifth Grade,,Operations and Algebraic Thinking (5.OA),5.OA.A,Write and interpret numerical expressions.,5.OA.2,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",,,,
