           ,Subject,Grade,             ,Strand,              ,    ,               ,     ,                ,Common Core Standard,       ,        
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",9-10.WHST.2,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",a.,"Introduce a topic and organize ideas, concepts, and information to make important connections and distinctions; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",b.,"Develop the topic with well-chosen, relevant, and sufficient facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",c.,"Use varied transitions and sentence structures to link the major sections of the text, create cohesion, and clarify the relationships among ideas and concepts.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",d.,Use precise language and domain-specific vocabulary to manage the complexity of the topic and convey a style appropriate to the discipline and context as well as to the expertise of likely readers.,,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",e.,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",f.,"Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic).",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",9-10.WHST.3,"Not applicable as a separate requirement.  Students’ narrative skills continue to grow in these grades. The Standards require that students be able to incorporate narrative elements effectively into arguments and informative/explanatory texts. In history/social studies, students must be able to incorporate narrative accounts into their analyses of individuals or events of historical import. In science and technical subjects, students must be able to write precise enough descriptions of the step-by-step procedures they use in their investigations or technical work that others can replicate them and (possibly) reach the same results.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 4:,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",9-10.WHST.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 5:,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",9-10.WHST.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 6:,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",9-10.WHST.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products, taking advantage of technology’s capacity to link to other information and to display information flexibly and dynamically.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 7:,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",9-10.WHST.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 8:,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",9-10.WHST.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the usefulness of each source in answering the research question; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and following a standard format for citation.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 9:,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",9-10.WHST.9,"Draw evidence from informational texts to support analysis, reflection, and research.",,
LST,Literacy in Science & Technical Subjects,Ninth and Tenth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Range of Writing,Anchor Standard 10:,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",9-10.WHST.10,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 1:,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,11-12.RST.1,"Cite specific textual evidence to support analysis of science and technical texts, attending to important distinctions the author makes and to any gaps or inconsistencies in the account.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 2:,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,11-12.RST.2,"Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 3:,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",11-12.RST.3,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyze the specific results based on explanations in the text.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 4:,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",11-12.RST.4,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 11–12 texts and topics.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 5:,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",11-12.RST.5,"Analyze how the text structures information or ideas into categories or hierarchies, demonstrating understanding of the information or ideas.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 6:,Assess how point of view or purpose shapes the content and style of a text.,11-12.RST.6,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, identifying important issues that remain unresolved.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 7:,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",11-12.RST.7,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., quantitative data, video, multimedia) in order to address a question or solve a problem.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 8:,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",11-12.RST.8,"Evaluate the hypotheses, data, analysis, and conclusions in a science or technical text, verifying the data when possible and corroborating or challenging conclusions with other sources of information.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 9:,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,11-12.RST.9,"Synthesize information from a range of sources (e.g., texts, experiments, simulations) into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Reading for Literacy in Science and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Range of Reading and Level of Text Complexity,Anchor Standard 10:,Read and comprehend complex literary and informational texts independently and proficiently.,11-12.RST.10,"By the end of grade 12, read and comprehend science/technical texts in the grades 11-CCR text complexity band independently and proficiently.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",11-12.WHST.1,Write arguments focused on discipline-specific content.,,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",a.,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences the claim(s), counterclaims, reasons, and evidence.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",b.,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant data and evidence for each while pointing out the strengths and limitations of both claim(s) and counterclaims in a discipline-appropriate form that anticipates the audience’s knowledge level, concerns, values, and possible biases.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",c.,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",d.,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",e.,Provide a concluding statement or section that follows from or supports the argument presented.,,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",11-12.WHST.2,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",a.,"Introduce a topic and organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",b.,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",c.,"Use varied transitions and sentence structures to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",d.,"Use precise language, domain-specific vocabulary and techniques such as metaphor, simile, and analogy to manage the complexity of the topic; convey a knowledgeable stance in a style that responds to the discipline and context as well as to the expertise of likely readers.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",e.,"Provide a concluding statement or section that follows from and supports the information or explanation provided (e.g., articulating implications or the significance of the topic).",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",11-12.WHST.3,"Not applicable as a separate requirement.  Students’ narrative skills continue to grow in these grades. The Standards require that students be able to incorporate narrative elements effectively into arguments and informative/explanatory texts. In history/social studies, students must be able to incorporate narrative accounts into their analyses of individuals or events of historical import. In science and technical subjects, students must be able to write precise enough descriptions of the step-by-step procedures they use in their investigations or technical work that others can replicate them and (possibly) reach the same results.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 4:,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",11-12.WHST.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 5:,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",11-12.WHST.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Production and Distribution of Writing,Anchor Standard 6:,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",11-12.WHST.6,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 7:,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",11-12.WHST.7,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 8:,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",11-12.WHST.8,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the specific task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and overreliance on any one source and following a standard format for citation.",,
LST,Literacy in Science & Technical Subjects,Eleven and Twelfth Grades,,"Writing for Literacy in History/Social Studies, Science, and Technical Subjects - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Research to Build and Present Knowledge,Anchor Standard 9:,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",11-12.WHST.9,"Draw evidence from informational texts to support analysis, reflection, and research.",,
