           ,Subject,Grade,             ,Strand,              ,    ,               ,     ,                ,Common Core Standard,       ,        
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 2:,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,3.RI.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 3:,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",3.RI.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 4:,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",3.RI.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 5:,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",3.RI.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 6:,Assess how point of view or purpose shapes the content and style of a text.,3.RI.6,Distinguish their own point of view from that of the author of a text.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 7:,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",3.RI.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 8:,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",3.RI.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 9:,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,3.RI.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Range of Reading and Level of Text Complexity,Anchor Standard 10:,Read and comprehend complex literary and informational texts independently and proficiently.,3.RI.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2–3 text complexity band independently and proficiently.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Print Concepts,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,3.RF.1,There is not a grade 3 standard for this concept. Please see preceding grades for more information.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonological Awareness,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,3.RF.2,There is not a grade 3 standard for this concept. Please see preceding grades for more information.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,3.RF.3,Know and apply grade-level phonics and word analysis skills in decoding words.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,a.,Identify and know the meaning of the most common prefixes and derivational suffixes.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,b.,Decode words with common Latin suffixes.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,c.,Decode multisyllable words.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonics and Word Recognition,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,d.,Read grade-appropriate irregularly spelled words.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Fluency,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,3.RF.4,Read with sufficient accuracy and fluency to support comprehension.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Fluency,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,a.,Read grade-level text with purpose and understanding.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Fluency,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,b.,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Fluency,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,c.,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",3.W.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",a.,"Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",b.,Provide reasons that support the opinion.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",c.,"Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 1:,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",d.,Provide a concluding statement or section.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",3.W.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",a.,Introduce a topic and group related information together; include illustrations when useful to aiding comprehension.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",b.,"Develop the topic with facts, definitions, and details.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",c.,"Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 2:,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",d.,Provide a concluding statement or section.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",3.W.3,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",a.,Establish a situation and introduce a narrator and/or characters; organize an event sequence that unfolds naturally.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",b.,"Use dialogue and descriptions of actions, thoughts, and feelings to develop experiences and events or show the response of characters to situations.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",c.,Use temporal words and phrases to signal event order.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Text Types and Purposes,Anchor Standard 3:,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",d.,Provide a sense of closure.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Production and Distribution of Writing,Anchor Standard 4:,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",3.W.4,"With guidance and support from adults, produce writing in which the development and organization are appropriate to task and purpose. (Grade-specific expectations for writing types are defined in standards 1–3 above.)",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Production and Distribution of Writing,Anchor Standard 5:,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",3.W.5,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing. (Editing for conventions should demonstrate command of Language standards 1–3 up to and including grade 3.)",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Production and Distribution of Writing,Anchor Standard 6:,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",3.W.6,"With guidance and support from adults, use technology to produce and publish writing (using keyboarding skills) as well as to interact and collaborate with others.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Research to Build and Present Knowledge,Anchor Standard 7:,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",3.W.7,Conduct short research projects that build knowledge about a topic.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Research to Build and Present Knowledge,Anchor Standard 8:,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",3.W.8,Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Research to Build and Present Knowledge,Anchor Standard 9:,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",3.W.9,(Begins in grade 4),,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,"Writing - The following standards offer a focus for instruction in writing to help ensure that students gain adequate mastery of a range of skills and applications. Each year in their writing, students should demonstrate increasing sophistication in all aspects of language use, and they should address increasingly demanding content and sources.",,Range of Writing,Anchor Standard 10:,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",3.W.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",3.SL.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others’ ideas and expressing their own clearly.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",a.,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",b.,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",c.,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 1:,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",d.,Explain their own ideas and understanding in light of the discussion,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 2:,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",3.SL.2,"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Comprehension and Collaboration,Anchor Standard 3:,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric.",3.SL.3,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Presentation of Knowledge and Ideas,Anchor Standard 4:,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",3.SL.4,"Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Presentation of Knowledge and Ideas,Anchor Standard 5:,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,3.SL.5,Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Speaking and Listening - The following standards offer a focus for instruction each year to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Presentation of Knowledge and Ideas,Anchor Standard 6:,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",3.SL.6,Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification. (See grade 3 Language standards 1 and 3 for specific expectations.),,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,3.L.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,a.,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,b.,Form and use regular and irregular plural nouns.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,c.,"Use abstract nouns (e.g., childhood).",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,d.,Form and use regular and irregular verbs.,,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,e.,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses.",,
CCSSE,English Language Arts & Literacy (CCSS),Third Grade,,Language - The following standards offer a focus for instruction to help ensure that students gain adequate mastery of a range of skills and applications. Students advancing through the grades are expected to meet each year’s grade-specific standards and retain or further develop skills and understandings mastered in preceding grades.,,Conventions of Standard English,Anchor Standard 1:,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,f.,Ensure subject-verb and pronoun-antecedent agreement.,,
